url,address,price,baths,beds,dens,street,neighbourhood,city,area,mls_id,property_type,date_scraped
https://mississauga.listing.ca/2639-rogers-rd-8.W8009202.htm#2r-8d,2639 Rogers Rd 8,1499999,4,3,1,Rogers Rd,Erin Mills,Mississauga,Peel Region,W8009202,condo_townhome,2024-01-30
https://mississauga.listing.ca/4165-fieldgate-dr-23.W8009002.htm#2r-8e,4165 Fieldgate Dr 23,989000,3,3,0,Fieldgate Dr,Rathwood,Mississauga,Peel Region,W8009002,condo_townhome,2024-01-30
https://toronto.listing.ca/715-lawrence-ave-18.W8008994.htm#2r-8f,715 Lawrence Ave 18,859000,2,2,0,Lawrence Ave,Yorkdale-Glen Park,Toronto,Toronto,W8008994,condo_townhome,2024-01-30
https://toronto.listing.ca/140-long-branch-ave-24.W8008844.htm#2r-8g,140 Long Branch Ave 24,749900,2,2,1,Long Branch Ave,Long Branch,Toronto,Toronto,W8008844,condo_townhome,2024-01-30
https://mississauga.listing.ca/60-barondale-dr-275.W8008298.htm#2r-8h,60 Barondale Dr 275,749888,2,3,0,Barondale Dr,Hurontario,Mississauga,Peel Region,W8008298,condo_townhome,2024-01-30
https://mississauga.listing.ca/2120-rathburn-rd-121.W8008232.htm#2r-8i,2120 Rathburn Rd 121,929000,4,3,1,Rathburn Rd,Rathwood,Mississauga,Peel Region,W8008232,condo_townhome,2024-01-30
https://mississauga.listing.ca/3351-hornbeam-cres-84.W8008226.htm#2r-8j,3351 Hornbeam Cres 84,799900,3,3,1,Hornbeam Cres,Erin Mills,Mississauga,Peel Region,W8008226,condo_townhome,2024-01-30
https://mississauga.listing.ca/3038-clayhill-rd-2.W8008122.htm#2r-8k,3038 Clayhill Rd 2,729000,2,2,0,Clayhill Rd,Cooksville,Mississauga,Peel Region,W8008122,condo_townhome,2024-01-30
https://brampton.listing.ca/200-veterans-dr-38.W8007540.htm#2r-8l,200 Veterans Dr 38,689999,3,3,0,Veterans Dr,Northwest Brampton,Brampton,Peel Region,W8007540,condo_townhome,2024-01-30
https://orangeville.listing.ca/5-armstrong-st-5.W8007436.htm#2r-8m,5 Armstrong St 5,599900,2,2,0,Armstrong St,Orangeville,Orangeville,Other,W8007436,condo_townhome,2024-01-30
https://brampton.listing.ca/19-dawson-cres.W7406506.htm#2r-8n,19 Dawson Cres,650000,2,3,0,Dawson Cres,Brampton North,Brampton,Peel Region,W7406506,condo_townhome,2024-01-30
https://toronto.listing.ca/430-roncesvalles-ave-th4.W7406036.htm#2r-8o,430 Roncesvalles Ave Th4,1399900,3,3,0,Roncesvalles Ave,Roncesvalles,Toronto,Toronto,W7406036,condo_townhome,2024-01-30
https://mississauga.listing.ca/180-mississauga-valley-blvd-138.W7405948.htm#2r-8p,180 Mississauga Valley Blvd 138,739000,3,4,0,Mississauga Valley Blvd,Mississauga Valleys,Mississauga,Peel Region,W7405948,condo_townhome,2024-01-30
https://mississauga.listing.ca/4005-hickory-dr-th33.W7405862.htm#2r-8q,4005 Hickory Dr Th33,828888,2,2,1,Hickory Dr,Rathwood,Mississauga,Peel Region,W7405862,condo_townhome,2024-01-30
https://milton.listing.ca/324-wilson-dr-324.W7405432.htm#2r-8r,324 Wilson Dr 324,589999,2,3,1,Wilson Dr,Dorset Park,Milton,Halton Region,W7405432,condo_townhome,2024-01-30
https://toronto.listing.ca/11-applewood-lane-237.W7404942.htm#2r-8s,11 Applewood Lane 237,849000,3,3,0,Applewood Lane,Etobicoke West Mall,Toronto,Toronto,W7404942,condo_townhome,2024-01-30
https://toronto.listing.ca/3580-lake-shore-blvd-17.W7404626.htm#2r-8t,3580 Lake Shore Blvd 17,895000,3,2,0,Lake Shore Blvd,Long Branch,Toronto,Toronto,W7404626,condo_townhome,2024-01-30
https://collingwood.listing.ca/40-trott-blvd-705.S8008936.htm#2r-8u,40 Trott Blvd 705,1199999,3,1,2,Trott Blvd,Collingwood,Collingwood,Other,S8008936,condo_townhome,2024-01-30
https://barrie.listing.ca/111-worsley-st-gph5.S8008354.htm#2r-8v,111 Worsley St Gph5,1149900,2,2,0,Worsley St,City Centre,Barrie,Other,S8008354,condo_townhome,2024-01-30
https://collingwood.listing.ca/20-cranberry-surf.S7404784.htm#2r-8w,20 Cranberry Surf,599000,3,3,0,Cranberry Surf,Collingwood,Collingwood,Other,S7404784,condo_townhome,2024-01-30
https://whitchurch-stouffville.listing.ca/11750-ninth-line-133.N8008388.htm#2r-8x,11750 Ninth Line 133,1050000,3,2,0,Ninth Line,Stouffville,Whitchurch-Stouffville,York Region,N8008388,condo_townhome,2024-01-30
https://markham.listing.ca/19-wave-hill-way.N8008106.htm#2r-8y,19 Wave Hill Way,999000,2,2,1,Wave Hill Way,Greensborough,Markham,York Region,N8008106,condo_townhome,2024-01-30
https://aurora.listing.ca/9-poplar-cres.N8007918.htm#2r-8z,9 Poplar Cres,930000,2,3,1,Poplar Cres,Aurora Highlands,Aurora,York Region,N8007918,condo_townhome,2024-01-30
https://markham.listing.ca/234-valentina-dr.N8007224.htm#2r-90,234 Valentina Dr,999990,3,3,1,Valentina Dr,Village Green-South Unionville,Markham,York Region,N8007224,condo_townhome,2024-01-30
https://vaughan.listing.ca/5299-highway-7-c202.N7406728.htm#2r-91,5299 Highway 7 C202,724990,3,3,1,Highway 7,Vaughan Grove,Vaughan,York Region,N7406728,condo_townhome,2024-01-30
https://markham.listing.ca/1672-john-st.N7406304.htm#2r-92,1672 John St,899998,1,3,0,John St,Bayview Fairway-Bayview Country Club Estates,Markham,York Region,N7406304,condo_townhome,2024-01-30
https://vaughan.listing.ca/79-mable-smith-way.N7406006.htm#2r-93,79 Mable Smith Way,1149990,3,3,0,Mable Smith Way,Vaughan Corporate Centre,Vaughan,York Region,N7406006,condo_townhome,2024-01-30
https://markham.listing.ca/21-the-carriage-way.N7405406.htm#2r-94,21 The Carriage Way,828888,3,4,0,The Carriage Way,Royal Orchard,Markham,York Region,N7405406,condo_townhome,2024-01-30
https://newmarket.listing.ca/14-lytham-green-circ-7.N7404844.htm#2r-95,14 Lytham Green Circ 7,799990,2,2,0,Lytham Green Circ,Glenway Estates,Newmarket,York Region,N7404844,condo_townhome,2024-01-30
https://markham.listing.ca/139-wales-ave.N7404684.htm#2r-96,139 Wales Ave,599900,2,3,0,Wales Ave,Old Markham Village,Markham,York Region,N7404684,condo_townhome,2024-01-30
https://markham.listing.ca/14-quail-valley-dr.N7404372.htm#2r-97,14 Quail Valley Dr,1289000,3,3,0,Quail Valley Dr,German Mills,Markham,York Region,N7404372,condo_townhome,2024-01-30
https://oshawa.listing.ca/540-dorchester-dr-18.E8009260.htm#2r-98,540 Dorchester Dr 18,599900,2,3,0,Dorchester Dr,Vanier,Oshawa,Durham Region,E8009260,condo_townhome,2024-01-30
https://oshawa.listing.ca/966-adelaide-ave-67.E8009112.htm#2r-99,966 Adelaide Ave 67,625000,3,3,0,Adelaide Ave,Eastdale,Oshawa,Durham Region,E8009112,condo_townhome,2024-01-30
https://oshawa.listing.ca/2256-chevron-prince-ptwy.E8009050.htm#2r-9a,2256 Chevron Prince Ptwy,699000,3,3,0,Chevron Prince Ptwy,Windfields,Oshawa,Durham Region,E8009050,condo_townhome,2024-01-30
https://pickering.listing.ca/1555-kingston-rd-112.E8008792.htm#2r-9b,1555 Kingston Rd 112,697800,3,2,0,Kingston Rd,Brock Ridge,Pickering,Durham Region,E8008792,condo_townhome,2024-01-30
https://ajax.listing.ca/31-parker-cres-17.E8008110.htm#2r-9c,31 Parker Cres 17,699000,2,3,0,Parker Cres,South East,Ajax,Durham Region,E8008110,condo_townhome,2024-01-30
https://toronto.listing.ca/28-livingston-rd-75.E8007950.htm#2r-9d,28 Livingston Rd 75,835000,3,4,0,Livingston Rd,Guildwood,Toronto,Toronto,E8007950,condo_townhome,2024-01-30
https://toronto.listing.ca/121-centennial-rd-34.E8007126.htm#2r-9e,121 Centennial Rd 34,799000,3,3,0,Centennial Rd,Centennial Scarborough,Toronto,Toronto,E8007126,condo_townhome,2024-01-30
https://clarington.listing.ca/22-lookout-dr.E7405674.htm#2r-9f,22 Lookout Dr,649000,2,3,0,Lookout Dr,Bowmanville,Clarington,Durham Region,E7405674,condo_townhome,2024-01-30
https://oshawa.listing.ca/2500-hill-rise-crt-6.E7405000.htm#2r-9g,2500 Hill Rise Crt 6,598900,2,2,0,Hill Rise Crt,Windfields,Oshawa,Durham Region,E7405000,condo_townhome,2024-01-30
https://toronto.listing.ca/11-livonia-pl-th2.E7404822.htm#2r-9h,11 Livonia Pl Th2,699999,4,3,1,Livonia Pl,Morningside,Toronto,Toronto,E7404822,condo_townhome,2024-01-30
https://toronto.listing.ca/5-clintwood-gate.C8008870.htm#2r-9i,5 Clintwood Gate,1075000,4,3,0,Clintwood Gate,Parkwoods-Donalda,Toronto,Toronto,C8008870,condo_townhome,2024-01-30
https://toronto.listing.ca/30-nelson-st-20.C7406716.htm#2r-9j,30 Nelson St 20,2000000,3,3,1,Nelson St,Waterfront Communities C1,Toronto,Toronto,C7406716,condo_townhome,2024-01-30
https://toronto.listing.ca/66-st-nicholas-st.C7405730.htm#2r-9k,66 St. Nicholas St,1200000,2,2,0,St. Nicholas St,Bay Street Corridor,Toronto,Toronto,C7405730,condo_townhome,2024-01-30
https://toronto.listing.ca/74-flaming-roseway.C7405138.htm#2r-9l,74 Flaming Roseway,1328000,3,3,0,Flaming Roseway,Willowdale East,Toronto,Toronto,C7405138,condo_townhome,2024-01-30
https://toronto.listing.ca/761-bay-st-th01.C7404574.htm#2r-9m,761 Bay St Th01,3299000,4,3,0,Bay St,Bay Street Corridor,Toronto,Toronto,C7404574,condo_townhome,2024-01-30
https://kawartha-lakes.listing.ca/67-west-st-th7.X7402444.htm#2r-9n,67 West St Th7,1129900,2,2,1,West St,Fenelon Falls,Kawartha Lakes,Other,X7402444,condo_townhome,2024-01-30
https://hamilton.listing.ca/800-paramount-dr-27.X7402962.htm#2r-9o,800 Paramount Dr 27,689900,2,3,0,Paramount Dr,Stoney Creek Mountain,Hamilton,Other,X7402962,condo_townhome,2024-01-30
https://hamilton.listing.ca/337-beach-blvd-44.X7402940.htm#2r-9p,337 Beach Blvd 44,829000,2,2,1,Beach Blvd,Hamilton Beach,Hamilton,Other,X7402940,condo_townhome,2024-01-30
https://guelph.listing.ca/125-janefield-ave-7.X7402766.htm#2r-9q,125 Janefield Ave 7,799900,3,4,1,Janefield Ave,Old University,Guelph,Other,X7402766,condo_townhome,2024-01-30
https://grimsby.listing.ca/510-north-service-rd-18.X7402600.htm#2r-9r,510 North Service Rd 18,549900,3,2,0,North Service Rd,not_provided,Grimsby,Other,X7402600,condo_townhome,2024-01-30
https://peterborough.listing.ca/301-carnegie-ave-144.X7402360.htm#2r-9s,301 Carnegie Ave 144,749900,3,1,1,Carnegie Ave,Northcrest,Peterborough,Other,X7402360,condo_townhome,2024-01-30
https://toronto.listing.ca/11-silver-shadow-path.W7404172.htm#2r-9t,11 Silver Shadow Path,899900,2,3,0,Silver Shadow Path,Markland Wood,Toronto,Toronto,W7404172,condo_townhome,2024-01-30
https://brampton.listing.ca/1930-wanless-dr-0016.W7404038.htm#2r-9u,1930 Wanless Dr 0016,849900,2,2,0,Wanless Dr,Northwest Brampton,Brampton,Peel Region,W7404038,condo_townhome,2024-01-30
https://mississauga.listing.ca/60-hanson-rd-143.W7403884.htm#2r-9v,60 Hanson Rd 143,844900,4,3,2,Hanson Rd,Fairview,Mississauga,Peel Region,W7403884,condo_townhome,2024-01-30
https://toronto.listing.ca/37-four-winds-dr-109.W7402534.htm#2r-9w,37 Four Winds Dr 109,619000,1,2,0,Four Winds Dr,York University Heights,Toronto,Toronto,W7402534,condo_townhome,2024-01-30
https://toronto.listing.ca/867-wilson-ave-24.W7402388.htm#2r-9x,867 Wilson Ave 24,549000,1,1,0,Wilson Ave,Downsview-Roding-CFB,Toronto,Toronto,W7402388,condo_townhome,2024-01-30
https://new-tecumseth.listing.ca/75-sunset-blvd.N7402986.htm#2r-9y,75 Sunset Blvd,1040000,4,1,1,Sunset Blvd,Alliston,New Tecumseth,Other,N7402986,condo_townhome,2024-01-30
https://barrie.listing.ca/358-little-ave-28.S7402018.htm#2r-9z,358 Little Ave 28,725000,3,1,1,Little Ave,Painswick North,Barrie,Other,S7402018,condo_townhome,2024-01-30
https://markham.listing.ca/18-rouge-valley-dr-108.N7404250.htm#2r-a0,18 Rouge Valley Dr 108,1148000,3,2,1,Rouge Valley Dr,Unionville,Markham,York Region,N7404250,condo_townhome,2024-01-30
https://markham.listing.ca/1666-john-st.N7403738.htm#2r-a1,1666 John St,898800,2,4,0,John St,Bayview Fairway-Bayview Country Club Estates,Markham,York Region,N7403738,condo_townhome,2024-01-30
https://markham.listing.ca/8-beer-lane.N7402342.htm#2r-a2,8 Beer Lane,1226800,4,3,0,Beer Lane,Wismer,Markham,York Region,N7402342,condo_townhome,2024-01-30
https://vaughan.listing.ca/8169-kipling-ave-17.N7356562.htm#2r-a3,8169 Kipling Ave 17,639900,1,1,1,Kipling Ave,West Woodbridge,Vaughan,York Region,N7356562,condo_townhome,2024-01-30
