url,address,price,baths,beds,dens,street,neighbourhood,city,area,mls_id,property_type,date_scraped
https://adjala-tosorontio.listing.ca/39-pine-park-blvd.N8009638.htm#9q-1,39 Pine Park Blvd,899000,2,3,1,Pine Park Blvd,Everett,Adjala-Tosorontio,Other,N8009638,detached_home,2024-01-30
https://guelph.listing.ca/23-glenwood-ave.X8031038.htm#9q-2,23 Glenwood Ave,679900,1,3,0,Glenwood Ave,Exhibition Park,Guelph,Other,X8031038,detached_home,2024-01-30
https://niagara-on-the-lake.listing.ca/25-kenmir-ave.X8031006.htm#9q-3,25 Kenmir Ave,1599999,4,3,0,Kenmir Ave,not_provided,Niagara-on-the-Lake,Other,X8031006,detached_home,2024-01-30
https://guelph.listing.ca/12-mountford-dr.X8031004.htm#9q-4,12 Mountford Dr,589900,2,3,2,Mountford Dr,Grange Hill East,Guelph,Other,X8031004,detached_home,2024-01-30
https://hamilton.listing.ca/28-oak-ave.X8030962.htm#9q-5,28 Oak Ave,549900,2,4,2,Oak Ave,Landsdale,Hamilton,Other,X8030962,detached_home,2024-01-30
https://brantford.listing.ca/64-sara-st.X8030870.htm#9q-6,64 Sara St,649000,3,5,2,Sara St,not_provided,Brantford,Other,X8030870,detached_home,2024-01-30
https://brantford.listing.ca/125-west-st.X8030842.htm#9q-7,125 West St,629000,2,3,1,West St,not_provided,Brantford,Other,X8030842,detached_home,2024-01-30
https://norfolk.listing.ca/102-fairground-rd.X8030782.htm#9q-8,102 Fairground Rd,975000,2,3,0,Fairground Rd,Norfolk,Norfolk,Other,X8030782,detached_home,2024-01-30
https://hamilton.listing.ca/112-fairey-st.X8030772.htm#9q-9,112 Fairey St,1150000,3,4,0,Fairey St,Mount Hope,Hamilton,Other,X8030772,detached_home,2024-01-30
https://welland.listing.ca/103-louise-st.X8030748.htm#9q-a,103 Louise St,749000,3,4,0,Louise St,not_provided,Welland,Other,X8030748,detached_home,2024-01-30
https://peterborough.listing.ca/566-clancy-cres.X8030742.htm#9q-b,566 Clancy Cres,699900,3,3,1,Clancy Cres,Otonabee,Peterborough,Other,X8030742,detached_home,2024-01-30
https://brighton.listing.ca/15394-little-lake-rd.X8030718.htm#9q-c,15394 Little Lake Rd,297000,1,2,0,Little Lake Rd,Rural Brighton,Brighton,Other,X8030718,detached_home,2024-01-30
https://toronto.listing.ca/2639-keele-st.W8030724.htm#9q-d,2639 Keele St,3950000,12,9,1,Keele St,Maple Leaf,Toronto,Toronto,W8030724,detached_home,2024-01-30
https://toronto.listing.ca/43-prince-william-crt.E8030966.htm#9q-e,43 Prince William Crt,888888,3,3,1,Prince William Crt,Agincourt South-Malvern West,Toronto,Toronto,E8030966,detached_home,2024-01-30
https://haldimand.listing.ca/4489-3-highway.X7033486.htm#9q-f,4489 #3 Highway,1050000,3,4,0,#3 Highway,Haldimand,Haldimand,Other,X7033486,detached_home,2024-01-30
https://toronto.listing.ca/146-ascot-ave.W8031028.htm#9q-g,146 Ascot Ave,849000,1,2,0,Ascot Ave,Corso Italia-Davenport,Toronto,Toronto,W8031028,detached_home,2024-01-30
https://oakville.listing.ca/511-macdonald-rd.W8031002.htm#9q-h,511 Macdonald Rd,8386000,7,4,1,Macdonald Rd,Old Oakville,Oakville,Halton Region,W8031002,detached_home,2024-01-30
https://toronto.listing.ca/7-the-wishbone.W8030996.htm#9q-i,7 The Wishbone,969000,2,3,0,The Wishbone,Brookhaven-Amesbury,Toronto,Toronto,W8030996,detached_home,2024-01-30
https://toronto.listing.ca/34-laver-rd.W8030990.htm#9q-j,34 Laver Rd,1349900,2,3,1,Laver Rd,Eringate-Centennial-West Deane,Toronto,Toronto,W8030990,detached_home,2024-01-30
https://brampton.listing.ca/21-borrelli-dr.W8030910.htm#9q-k,21 Borrelli Dr,1699900,6,4,2,Borrelli Dr,Credit Valley,Brampton,Peel Region,W8030910,detached_home,2024-01-30
https://brampton.listing.ca/6-drury-cres.W8030774.htm#9q-l,6 Drury Cres,989000,2,3,2,Drury Cres,Southgate,Brampton,Peel Region,W8030774,detached_home,2024-01-30
https://orillia.listing.ca/44-coldwater-rd.S8030886.htm#9q-m,44 Coldwater Rd,499900,2,3,0,Coldwater Rd,Orillia,Orillia,Other,S8030886,detached_home,2024-01-30
https://wasaga-beach.listing.ca/17-maple-dr.S8024362.htm#9q-n,17 Maple Dr,1499000,3,4,2,Maple Dr,Wasaga Beach,Wasaga Beach,Other,S8024362,detached_home,2024-01-30
https://georgina.listing.ca/24340-warden-ave.N8031048.htm#9q-o,24340 Warden Ave,895000,2,3,0,Warden Ave,Belhaven,Georgina,York Region,N8031048,detached_home,2024-01-30
https://east-gwillimbury.listing.ca/28-maplehyrn-ave.N8030926.htm#9q-p,28 Maplehyrn Ave,2388000,3,3,1,Maplehyrn Ave,Sharon,East Gwillimbury,York Region,N8030926,detached_home,2024-01-30
https://king.listing.ca/60-country-club-dr.N8030758.htm#9q-q,60 Country Club Dr,2699000,5,4,2,Country Club Dr,Rural King,King,York Region,N8030758,detached_home,2024-01-30
https://pickering.listing.ca/400-finch-ave.E8030932.htm#9q-r,400 Finch Ave,1669000,5,4,1,Finch Ave,Rouge Park,Pickering,Durham Region,E8030932,detached_home,2024-01-30
https://toronto.listing.ca/21-fenwood-hts.E8030888.htm#9q-s,21 Fenwood Hts,1599000,3,3,0,Fenwood Hts,Cliffcrest,Toronto,Toronto,E8030888,detached_home,2024-01-30
