url,address,price,baths,beds,dens,street,neighbourhood,mls_id,city,property_type,date_scraped
https://toronto.listing.ca/286-main-st-911.E8018446.htm#42-1,286 Main St 911,619900,1,1,1,Main St,East End-Danforth,E8018446,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/215-queen-st-606.C7266728.htm#42-2,215 Queen St 606,529000,1,1,0,Queen St,Waterfront Communities C1,C7266728,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/10-park-lawn-rd-1408.W7239426.htm#42-3,10 Park Lawn Rd 1408,624900,1,1,1,Park Lawn Rd,Mimico,W7239426,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/665-queen-st-402.E8030950.htm#42-4,665 Queen St 402,899900,2,2,0,Queen St,South Riverdale,E8030950,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/1190-dundas-st-925.E8030860.htm#42-5,1190 Dundas St 925,599900,1,1,0,Dundas St,South Riverdale,E8030860,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/3121-sheppard-ave-603.E8030780.htm#42-6,3121 Sheppard Ave 603,780000,2,2,0,Sheppard Ave,Tam O'Shanter-Sullivan,E8030780,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/2359-danforth-ave-716.E8030754.htm#42-7,2359 Danforth Ave 716,700000,2,1,1,Danforth Ave,East End-Danforth,E8030754,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/32-davenport-rd-2905.C8031014.htm#42-8,32 Davenport Rd 2905,2599800,3,3,1,Davenport Rd,Annex,C8031014,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/181-wynford-dr-1201.C8031008.htm#42-9,181 Wynford Dr 1201,580000,1,1,0,Wynford Dr,Banbury-Don Mills,C8031008,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/155-beecroft-rd-201.C8030930.htm#42-a,155 Beecroft Rd 201,569000,1,1,0,Beecroft Rd,Lansing-Westgate,C8030930,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/840-st-clair-ave-302.C8030890.htm#42-b,840 St Clair Ave 302,839000,2,2,0,St Clair Ave,Oakwood Village,C8030890,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/55-harrison-garden-blvd-707.C8030848.htm#42-c,55 Harrison Garden Blvd 707,589000,1,1,0,Harrison Garden Blvd,Willowdale East,C8030848,Toronto,condo_apartment,2024-01-30
https://toronto.listing.ca/88-scott-st-1201.C8030840.htm#42-d,88 Scott St 1201,675000,1,1,1,Scott St,Church-Yonge Corridor,C8030840,Toronto,condo_apartment,2024-01-30
