,index,neighbourhoods
0,0,East End-Danforth
1,1,Waterfront Communities C1
2,2,Mimico
3,3,South Riverdale
4,4,Tam O'Shanter-Sullivan
5,5,Annex
6,6,Banbury-Don Mills
7,7,Lansing-Westgate
8,8,Oakwood Village
9,9,Willowdale East
10,10,Church-Yonge Corridor
11,11,Bay Street Corridor
12,12,Yonge-St. Clair
13,13,Mount Pleasant West
14,14,Kensington-Chinatown
15,15,Glenfield-Jane Heights
16,16,Etobicoke West Mall
17,17,Kingsview Village-The Westway
18,18,Islington-City Centre West
19,19,Hillcrest Village
20,20,South Parkdale
21,21,O'Connor-Parkview
22,22,Willowdale West
23,23,Milliken
24,24,St. Andrew-Windfields
25,25,Newtonbrook West
26,26,Flemingdon Park
27,27,Moss Park
28,28,Waterfront Communities C8
29,29,Junction Area
30,30,West Hill
31,31,Henry Farm
32,32,High Park North
33,33,York University Heights
34,34,Humewood-Cedarvale
35,35,Crescent Town
36,36,Bendale
37,37,Cliffcrest
38,38,Malvern
39,39,Rosedale-Moore Park
40,40,Thorncliffe Park
41,41,Niagara
42,42,Yonge-Eglinton
43,43,Newtonbrook East
44,44,Parkwoods-Donalda
45,45,Dufferin Grove
46,46,Casa Loma
47,47,Englemount-Lawrence
48,48,Yorkdale-Glen Park
49,49,Mount Olive-Silverstone-Jamestown
50,50,West Humber-Clairville
51,51,Downsview-Roding-CFB
52,52,Humber Heights
53,53,Dovercourt-Wallace Emerson-Junction
54,54,Woburn
55,55,Kennedy Park
56,56,Agincourt South-Malvern West
57,57,Guildwood
58,58,Leaside
59,59,Regent Park
60,60,Cabbagetown-South St. James Town
61,61,Clanton Park
62,62,Forest Hill South
63,63,Trinity-Bellwoods
64,64,L'Amoreaux
65,65,Bayview Village
66,66,Dorset Park
67,67,North St. James Town
68,68,Elms-Old Rexdale
69,69,Agincourt North
70,70,The Beaches
71,71,Brookhaven-Amesbury
72,72,Steeles
73,73,Rockcliffe-Smythe
74,74,Eglinton East
75,75,Bathurst Manor
76,76,Don Valley Village
77,77,High Park-Swansea
78,78,Little Portugal
79,79,Humbermede
80,80,Humberlea-Pelmo Park W5
81,81,Edenbridge-Humber Valley
82,82,Beechborough-Greenbrook
83,83,Markland Wood
84,84,Black Creek
85,85,Rouge E11
86,86,Birchcliffe-Cliffside
87,87,Pleasant View
88,88,Bedford Park-Nortown
89,89,Palmerston-Little Italy
90,90,Stonegate-Queensway
91,91,New Toronto
92,92,Danforth
93,93,Mount Pleasant East
94,94,University
95,95,Lawrence Park South
96,96,Forest Hill North
97,97,Humber Summit
98,98,Eringate-Centennial-West Deane
99,99,Rustic
100,100,Roncesvalles
101,101,Mount Dennis
102,102,Westminster-Branson
103,103,Bridle Path-Sunnybrook-York Mills
104,104,Bayview Woods-Steeles
105,105,Scarborough Village
106,106,North Riverdale
107,107,Alderwood
108,108,Maple Leaf
109,109,Rexdale-Kipling
110,110,Clairlea-Birchmount
111,111,Victoria Village
112,112,Weston-Pellam Park
113,113,Kingsway South
114,114,Briar Hill-Belgravia
115,115,Ionview
116,116,Lawrence Park North
117,117,Wexford-Maryvale
118,118,Long Branch
119,119,Weston
120,120,Greenwood-Coxwell
121,121,Danforth Village-East York
122,122,Morningside
123,123,Keelesdale-Eglinton West
124,124,Oakridge
125,125,Broadview North
126,126,Lambton Baby Point
127,127,Corso Italia-Davenport
128,128,Centennial Scarborough
129,129,Playter Estates-Danforth
130,130,Blake-Jones
131,131,Thistletown-Beaumonde Heights
132,132,Woodbine-Lumsden
133,133,Rouge E10
134,134,Caledonia-Fairbank
135,135,Wychwood
136,136,East York
137,137,Woodbine Corridor
138,138,Runnymede-Bloor West Village
139,139,Willowridge-Martingrove-Richview
140,140,Princess-Rosethorn
141,141,Humberlea-Pelmo Park W4
142,142,Highland Creek
