index,neighbourhoods
0,East End-Danforth
1,Waterfront Communities C1
2,Mimico
3,South Riverdale
4,Tam O'Shanter-Sullivan
5,Annex
6,Banbury-Don Mills
7,Lansing-Westgate
8,Oakwood Village
9,Willowdale East
10,Church-Yonge Corridor
11,Bay Street Corridor
12,Yonge-St. Clair
13,Mount Pleasant West
14,Kensington-Chinatown
15,Glenfield-Jane Heights
16,Etobicoke West Mall
17,Kingsview Village-The Westway
18,Islington-City Centre West
19,Hillcrest Village
20,South Parkdale
21,O'Connor-Parkview
22,Willowdale West
23,Milliken
24,St. Andrew-Windfields
25,Newtonbrook West
26,Flemingdon Park
27,Moss Park
28,Waterfront Communities C8
29,Junction Area
30,West Hill
31,Henry Farm
32,High Park North
33,York University Heights
34,Humewood-Cedarvale
35,Crescent Town
36,Bendale
37,Cliffcrest
38,Malvern
39,Rosedale-Moore Park
40,Thorncliffe Park
41,Niagara
42,Yonge-Eglinton
43,Newtonbrook East
44,Parkwoods-Donalda
45,Dufferin Grove
46,Casa Loma
47,Englemount-Lawrence
48,Yorkdale-Glen Park
49,Mount Olive-Silverstone-Jamestown
50,West Humber-Clairville
51,Downsview-Roding-CFB
52,Humber Heights
53,Dovercourt-Wallace Emerson-Junction
54,Woburn
55,Kennedy Park
56,Agincourt South-Malvern West
57,Guildwood
58,Leaside
59,Regent Park
60,Cabbagetown-South St. James Town
61,Clanton Park
62,Forest Hill South
63,Trinity-Bellwoods
64,L'Amoreaux
65,Bayview Village
66,Dorset Park
67,North St. James Town
68,Elms-Old Rexdale
69,Agincourt North
70,The Beaches
71,Brookhaven-Amesbury
72,Steeles
73,Rockcliffe-Smythe
74,Eglinton East
75,Bathurst Manor
76,Don Valley Village
77,High Park-Swansea
78,Little Portugal
79,Humbermede
80,Humberlea-Pelmo Park W5
81,Edenbridge-Humber Valley
82,Beechborough-Greenbrook
83,Markland Wood
84,Black Creek
85,Rouge E11
86,Birchcliffe-Cliffside
87,Pleasant View
88,Bedford Park-Nortown
89,Palmerston-Little Italy
90,Stonegate-Queensway
91,New Toronto
92,Danforth
93,Mount Pleasant East
94,University
95,Lawrence Park South
96,Forest Hill North
97,Humber Summit
98,Eringate-Centennial-West Deane
99,Rustic
100,Roncesvalles
101,Mount Dennis
102,Westminster-Branson
103,Bridle Path-Sunnybrook-York Mills
104,Bayview Woods-Steeles
105,Scarborough Village
106,North Riverdale
107,Alderwood
108,Maple Leaf
109,Rexdale-Kipling
110,Clairlea-Birchmount
111,Victoria Village
112,Weston-Pellam Park
113,Kingsway South
114,Briar Hill-Belgravia
115,Ionview
116,Lawrence Park North
117,Wexford-Maryvale
118,Long Branch
119,Weston
120,Greenwood-Coxwell
121,Danforth Village-East York
122,Morningside
123,Keelesdale-Eglinton West
124,Oakridge
125,Broadview North
126,Lambton Baby Point
127,Corso Italia-Davenport
128,Centennial Scarborough
129,Playter Estates-Danforth
130,Blake-Jones
131,Thistletown-Beaumonde Heights
132,Woodbine-Lumsden
133,Rouge E10
134,Caledonia-Fairbank
135,Wychwood
136,East York
137,Woodbine Corridor
138,Runnymede-Bloor West Village
139,Willowridge-Martingrove-Richview
140,Princess-Rosethorn
141,Humberlea-Pelmo Park W4
142,Highland Creek
