mls_id,property_type,address,street,neighbourhood,city,price,baths,beds,dens,latitude,longitude,date_scraped,url
E8018446,condo_apartment,286 Main St 911,Main St,East End-Danforth,Toronto,619900,1,1,1,43.687469,-79.301861,2024-01-30,https://toronto.listing.ca/286-main-st-911.E8018446.htm#42-1
C7266728,condo_apartment,215 Queen St 606,Queen St,Waterfront Communities C1,Toronto,529000,1,1,0,43.6503428,-79.3878063,2024-01-30,https://toronto.listing.ca/215-queen-st-606.C7266728.htm#42-2
W7239426,condo_apartment,10 Park Lawn Rd 1408,Park Lawn Rd,Mimico,Toronto,624900,1,1,1,43.6229459,-79.4816583,2024-01-30,https://toronto.listing.ca/10-park-lawn-rd-1408.W7239426.htm#42-3
E8030950,condo_apartment,665 Queen St 402,Queen St,South Riverdale,Toronto,899900,2,2,0,43.658361,-79.351159,2024-01-30,https://toronto.listing.ca/665-queen-st-402.E8030950.htm#42-4
E8030860,condo_apartment,1190 Dundas St 925,Dundas St,South Riverdale,Toronto,599900,1,1,0,43.665267,-79.341034,2024-01-30,https://toronto.listing.ca/1190-dundas-st-925.E8030860.htm#42-5
E8030780,condo_apartment,3121 Sheppard Ave 603,Sheppard Ave,Tam O'Shanter-Sullivan,Toronto,780000,2,2,0,43.776375,-79.317148,2024-01-30,https://toronto.listing.ca/3121-sheppard-ave-603.E8030780.htm#42-6
E8030754,condo_apartment,2359 Danforth Ave 716,Danforth Ave,East End-Danforth,Toronto,700000,2,1,1,43.686976568,-79.306541384,2024-01-30,https://toronto.listing.ca/2359-danforth-ave-716.E8030754.htm#42-7
C8031014,condo_apartment,32 Davenport Rd 2905,Davenport Rd,Annex,Toronto,2599800,3,3,1,43.6730659,-79.3897002,2024-01-30,https://toronto.listing.ca/32-davenport-rd-2905.C8031014.htm#42-8
C8031008,condo_apartment,181 Wynford Dr 1201,Wynford Dr,Banbury-Don Mills,Toronto,580000,1,1,0,43.7250886,-79.3260777,2024-01-30,https://toronto.listing.ca/181-wynford-dr-1201.C8031008.htm#42-9
C8030930,condo_apartment,155 Beecroft Rd 201,Beecroft Rd,Lansing-Westgate,Toronto,569000,1,1,0,43.7661991,-79.4151195,2024-01-30,https://toronto.listing.ca/155-beecroft-rd-201.C8030930.htm#42-a
C8030890,condo_apartment,840 St Clair Ave 302,St Clair Ave,Oakwood Village,Toronto,839000,2,2,0,43.680638,-79.431839,2024-01-30,https://toronto.listing.ca/840-st-clair-ave-302.C8030890.htm#42-b
C8030848,condo_apartment,55 Harrison Garden Blvd 707,Harrison Garden Blvd,Willowdale East,Toronto,589000,1,1,0,43.7568704,-79.407135369,2024-01-30,https://toronto.listing.ca/55-harrison-garden-blvd-707.C8030848.htm#42-c
C8030840,condo_apartment,88 Scott St 1201,Scott St,Church-Yonge Corridor,Toronto,675000,1,1,1,43.648413,-79.376467,2024-01-30,https://toronto.listing.ca/88-scott-st-1201.C8030840.htm#42-d
C8030836,condo_apartment,181 Bedford Rd 907,Bedford Rd,Annex,Toronto,1099000,2,3,0,43.6747278,-79.3993674,2024-01-30,https://toronto.listing.ca/181-bedford-rd-907.C8030836.htm#42-e
C8030826,condo_apartment,35 Empress Ave 1604,Empress Ave,Willowdale East,Toronto,839000,2,2,0,43.7696363,-79.4109953,2024-01-30,https://toronto.listing.ca/35-empress-ave-1604.C8030826.htm#42-f
C8030814,condo_apartment,180 University Ave 5207,University Ave,Bay Street Corridor,Toronto,1338000,1,1,0,43.6489079,-79.3860758,2024-01-30,https://toronto.listing.ca/180-university-ave-5207.C8030814.htm#42-g
C8030762,condo_apartment,99 Foxbar Rd 1507,Foxbar Rd,Yonge-St. Clair,Toronto,399000,1,1,0,43.686594,-79.400463,2024-01-30,https://toronto.listing.ca/99-foxbar-rd-1507.C8030762.htm#42-h
